Uniprot ID,Protein names,Predicted Class by Proteintox
A8W7P3,Phalloidin proprotein ,Non-toxic
A0A023UBY3,Phallacidin proprotein 1 ,Neurotoxic
P01308,Insulin ,Non-toxic
P02879,Ricin ,Non-toxic
P01500,Apamin  ,Neurotoxic
P69391,Alpha-pompilidotoxin ,Neurotoxic
P69392,Beta-pompilidotoxin ,Non-toxic
Q5UB45,Holocyclotoxin-1 ,Neurotoxic
P41736,Glycyl-poneratoxin  ,Non-toxic
P15969,Omega-agatoxin-1A   ,Neurotoxic
P56207,Omega-hexatoxin-Hv1a       ,Neurotoxic
P13494,Delta-hexatoxin-Hv1a         ,Neurotoxic
P01478,Delta-hexatoxin-Ar1a      ,Neurotoxic
P60590,Omega-theraphotoxin-Gr1a     ,Neurotoxic
P56676,Mu/omega-theraphotoxin-Hs1a     ,Neurotoxic
P23631,Alpha-latrotoxin-Lt1a   ,Non-toxic
P61230,Kappa-theraphotoxin-Ps1a   ,Neurotoxic
P60991,Kappa-theraphotoxin-Sc1a   ,Neurotoxic
P81790,Omega-ctenitoxin-Pn3a        ,Neurotoxic
P58425,Kappa-sparatoxin-Hv1a    ,Neurotoxic
P46110,Potassium channel toxin alpha-KTx 3.4      ,Neurotoxic
P13487,Potassium channel toxin alpha-KTx 1.1     ,Neurotoxic
P45639,Chlorotoxin   ,Neurotoxic
O46028,Potassium channel toxin alpha-KTx 10.1   ,Neurotoxic
P01391,Alpha-cobratoxin        ,Neurotoxic
P82850,Potassium channel toxin kappa-KTx 1.2   ,Neurotoxic
P24663,Potassium channel toxin alpha-KTx 1.3  ,Neurotoxic
P59868,Imperacalcin    ,Neurotoxic
P59888,Phospholipase A2 imperatoxin-1     ,Non-toxic
Q9NII7,Potassium channel toxin alpha-KTx 3.6 ,Neurotoxic
P24662,Potassium channel toxin alpha-KTx 3.1    ,Neurotoxic
P45696,Potassium channel toxin alpha-KTx 3.5  ,Neurotoxic
P59290,Potassium channel toxin alpha-KTx 3.9  ,Neurotoxic
P58910,Kurtoxin ,Cardiotoxic
P40755,Potassium channel toxin alpha-KTx 2.2  ,Neurotoxic
P80719,Potassium channel toxin alpha-KTx 6.2  ,Neurotoxic
